1,آیا تو روابطت همیشه حرف آخر رو می‌زنی؟,dominance
2,آیا دوستانت رو وادار به پیروی می‌کنی؟,dominance
3,آیا شکست عاطفی رو تحمل نمی‌کنی؟,dominance
4,آیا برای هدفت مرزها رو نادیده می‌گیری؟,dominance
5,آیا احساس می‌کنی نفوذ فقط مال توئه؟,dominance
6,آیا حسودها رو از زندگیت بیرون می‌کنی؟,dominance
7,آیا اطرافیان از ناراحتی تو می‌ترسن؟,dominance
8,آیا دوستی‌هات رو خودت هدایت می‌کنی؟,dominance
9,آیا تاثیر رو با کسی شریک نمی‌شی؟,dominance
10,آیا همیشه می‌خوای مرکز توجه باشی؟,dominance
11,آیا قبل از حرف زدن نقشه می‌کشی؟,strategy
12,آیا با زیرکی احساسات بقیه رو کنترل می‌کنی؟,strategy
13,آیا همیشه پیش‌بینی رفتار دیگران رو می‌کنی؟,strategy
14,آیا جزئیات رو برای برنامه جمع می‌کنی؟,strategy
15,آیا تو مکالمه نقطه ضعف طرف رو پیدا می‌کنی؟,strategy
16,آیا ناراحتی رو به انگیزه تبدیل می‌کنی؟,strategy
17,آیا از شبکه دوستات اطلاعات می‌گیری؟,strategy
18,آیا لحظه مناسب حرف رو خودت تعیین می‌کنی؟,strategy
19,آیا راه‌حل‌های هوشمند سریع پیدا می‌کنی؟,strategy
20,آیا موقعیت‌ها رو تو ذهنت پیش‌بینی می‌کنی؟,strategy
21,آیا وقتی تنها هستی شعر می‌نویسی؟,creativity
22,آیا با احساساتت چیزای زیبا خلق می‌کنی؟,creativity
23,آیا خیالاتت رو تو ذهن تصویر می‌کنی؟,creativity
24,آیا خاطرات رو به داستان تبدیل می‌کنی؟,creativity
25,آیا حضورت پر از حس خوبه؟,creativity
26,آیا ایده‌های احساسی رو بیان می‌کنی؟,creativity
27,آیا رویاهات رو با دیگران شریک می‌شی؟,creativity
28,آیا چیزای تزئینی با دست می‌سازی؟,creativity
29,آیا نگاهت پر از حس‌های تازه‌ست؟,creativity
30,آیا الهامت رو آروم به بقیه منتقل می‌کنی؟,creativity
31,آیا تنهایی تصمیم‌های بزرگ می‌گیری؟,independence
32,آیا بدون حمایت دیگران پیش می‌ری؟,independence
33,آیا وابستگی‌ها رو برای خودت قطع می‌کنی؟,independence
34,آیا آزادی شخصی رو بیشتر از همه دوست داری؟,independence
35,آیا شب‌ها با افکار خودت تنها می‌مونی؟,independence
36,آیا مسیر زندگیت رو خودت انتخاب می‌کنی؟,independence
37,آیا احساساتت رو خودت مدیریت می‌کنی؟,independence
38,آیا مکان‌های خلوت رو ترجیح می‌دی؟,independence
39,آیا خودکفایی رو با هیچی عوض نمی‌کنی؟,independence
40,آیا کسی نمی‌تونه وابسته‌ت کنه؟,independence
41,آیا ناراحتیت عمیق و طولانی می‌شه؟,emotion
42,آیا احساساتت حساس و شدید هستن؟,emotion
43,آیا محبتت رو با عمق نشون می‌دی؟,emotion
44,آیا قلب از احساس تند می‌زنه؟,emotion
45,آیا اشکات سریع می‌آد؟,emotion
46,آیا دلخوری‌ها رو تو دل نگه می‌داری؟,emotion
47,آیا وقتی ناراحتی گریه می‌کنی؟,emotion
48,آیا عمیق شدن تو احساس رو دوست داری؟,emotion
49,آیا عواطف پیچیده رو درک می‌کنی؟,emotion
50,آیا حس‌های قوی تو وجودته؟,emotion
51,آیا تو حرف با فریب موقعیت رو می‌گیری؟,cunning
52,آیا احساسات رو برای هدفت دستکاری می‌کنی؟,cunning
53,آیا حرف‌های گمراه‌کننده می‌زنی؟,cunning
54,آیا تو بحث‌های اجتماعی همیشه جلو می‌افتی؟,cunning
55,آیا با زیرکی مسیر بقیه رو تغییر می‌دی؟,cunning
56,آیا فرصت‌ها رو آروم می‌قاپی؟,cunning
57,آیا نشانه‌ها رو سریع تفسیر می‌کنی؟,cunning
58,آیا محدودیت‌ها رو با مهربونی رد می‌کنی؟,cunning
59,آیا واقعیت رو نرم می‌پیچونی؟,cunning
60,آیا نقشه‌های پنهانت رو آشکار نمی‌کنی؟,cunning
61,آیا با مرگ کنار می‌آی بدون وحشت؟,depth
62,آیا خاطرات تلخ رو تو ذهن نگه می‌داری؟,depth
63,آیا رفتار آدما رو عمیق تحلیل می‌کنی؟,depth
64,آیا آرامش درونی رو ترجیح می‌دی؟,depth
65,آیا تجربیات قدیمی رو زیاد مرور می‌کنی؟,depth
66,آیا احساسات مهم رو پنهان می‌کنی؟,depth
67,آیا عمق تنهایی برات جذابه؟,depth
68,آیا برای جبران منتظر فرصت می‌مونی؟,depth
69,آیا خطاها رو تو دل نمی‌بخشی؟,depth
70,آیا فکرهای پیچیده داری؟,depth